id,min_distance_to_school(m),min_duration_to_school(s)
891,1552.83,167.36
892,409.25,54.12
893,1153.18,177.17
894,979.83,155.07
895,486.78,116.82
896,1378.28,181.12
897,2154.72,205.73
898,1702.91,237.33
899,1186.01,270.13
900,177.65,39.02
901,429.92,63.12
902,868.56,186.84
903,343.97,49.53
904,595.28,142.29
905,564.63,76.01
906,1238.05,167.54
907,334.52,47.93
908,1168.69,193.21
909,138.17,24.45
910,432.49,46.29
911,1839.29,183.75
912,734.98,106.68
913,1971.15,250.44
914,700.83,95.57
915,737.38,85.39
916,1595.58,291.82
917,814.28,132.87
918,687.58,102.48
919,702.99,113.34
920,2723.27,246.59
921,1434.12,311.47
922,468.96,67.96
923,3060.53,313.36
924,580.8,87.73
925,2063.51,406.93
926,1441.38,242.13
927,1714.26,327.67
928,1412.93,130.94
929,987.43,153.87
930,821.77,133.24
931,305.83,44.04
932,1015.27,156.05
933,1000.79,161.9
934,612.24,113.92
935,614.5,82.38
936,353.89,66.44
937,975.27,136.46
938,794.33,86.46
939,485.32,89.58
940,544.65,114.51
941,694.21,121.21
942,513.14,62.44
943,829.81,148.89
944,1503.3,135.71
945,689.15,108.75
946,1223.02,127.34
947,2828.13,245.2
948,953.4,114.04
949,3812.53,388.25
950,343.35,44.15
951,1074.57,130.93
952,119.95,19.11
953,448.46,43.33
954,24.96,5.99
955,1629.77,283.83
956,305.83,44.04
957,296.77,59.13
958,1042.29,150.9
959,702.43,98.25
960,569.31,132.06
961,868.95,145.97
962,6702.42,553.65
963,788.97,126.77
964,1891.76,226.3
965,1067.7,112.08
966,301.28,60.21
967,619.73,69.28
968,891.76,122.31
969,1636.03,252.76
970,2185.18,224.39
971,657.18,104.22
972,688.58,106.01
973,569.24,62.25
974,1226.63,188.06
975,537.81,76.59
976,375.74,76.44
977,793.85,72.78
978,4485.38,547.95
979,504.63,85.8
980,2456.29,237.31
981,291.69,57.91
982,493.38,81.29
983,1034.45,138.63
984,3055.41,335.46
985,712.17,100.17
986,1644.96,247.29
987,1304.34,172.23
988,436.43,94.21
989,1583.86,231.07
990,2794.08,274.08
991,814.18,133.77
992,918.34,122.31
993,2642.25,285.2
994,379.65,32.88
995,1515.54,210.0
996,802.76,142.87
997,780.18,111.66
998,1005.94,157.33
999,2360.68,283.82
1000,970.13,128.65
1001,3817.14,321.53
1002,423.98,85.46
1003,464.92,70.18
1004,712.27,113.63
1005,792.03,124.22
1006,1487.76,188.17
1007,593.61,97.1
1008,1666.22,179.18
1009,882.0,152.91
1010,808.02,92.53
1011,1804.85,245.27
1012,436.92,71.36
1013,828.09,198.74
1014,728.89,101.72
1015,996.16,136.15
1016,521.17,76.5
1017,1072.14,151.15
1018,1122.69,133.93
1019,608.9,86.07
1020,1168.37,154.18
1021,425.03,59.98
1022,1187.26,175.99
1023,688.55,103.64
1024,339.94,48.95
1025,959.44,80.95
1026,752.46,81.17
1027,432.6,65.71
1028,859.17,100.9
1029,1177.72,225.62
1030,688.66,92.35
1031,1033.7,123.25
1032,193.19,31.28
1033,1402.11,122.98
1034,1348.74,140.81
1035,1223.66,168.55
1036,535.64,86.86
1037,322.65,45.49
1038,1410.01,194.65
1039,1114.99,104.96
1040,484.46,82.09
1041,2110.37,193.95
1042,1550.31,171.07
1043,1016.48,153.48
1044,1049.64,150.6
1045,5846.43,483.63
1046,1251.47,122.27
1047,1025.21,166.26
1048,269.63,38.38
1049,451.69,98.21
1050,203.03,35.92
1051,1013.46,118.16
1052,722.0,94.07
1053,1938.83,222.87
1054,754.21,101.93
1055,341.17,84.64
1056,410.13,83.27
1057,1246.0,133.62
1058,3692.0,362.26
1059,291.0,69.84
1060,3707.09,291.61
1061,1787.9,228.6
1062,500.08,37.28
1063,468.5,90.05
1064,9611.29,720.97
1065,9611.29,720.97
1066,1727.82,148.81
1067,1494.98,191.03
1068,2413.31,265.58
1069,538.53,106.52
1070,2258.93,259.22
1071,675.26,75.15
1072,562.75,86.27
1073,777.26,110.36
1074,688.58,106.01
1075,647.35,87.2
1076,600.25,97.68
1077,787.02,119.7
1078,662.11,101.23
1079,6951.4,696.68
1080,771.23,121.75
1081,3818.69,341.03
1082,763.5,120.66
1083,1309.1,107.17
1084,495.79,91.83
1085,1335.68,170.33
1086,1173.43,151.29
1087,2935.39,317.13
1088,1029.54,192.3
1089,164.14,29.54
1090,1720.63,255.27
1091,2351.58,214.93
1092,883.38,123.32
1093,1473.1,199.79
1094,792.88,81.4
1095,989.42,155.45
1096,5573.01,587.53
1097,2074.35,267.73
1098,753.45,104.53
1099,1897.2,217.13
1100,469.16,69.85
1101,574.79,97.21
1102,267.36,50.43
1103,2422.49,295.16
1104,501.82,71.86
1105,1067.72,164.57
1106,150.63,22.96
1107,1117.39,160.9
1108,508.34,105.54
1109,1173.8,212.08
1110,1285.95,215.38
1111,912.77,96.88
1112,912.77,96.88
1113,912.77,96.88
1114,486.25,63.71
1115,574.29,97.1
1116,1088.38,124.65
1117,601.28,135.76
1118,1544.69,209.88
1119,879.85,102.1
1120,371.16,35.9
1121,827.44,108.7
1122,1236.3,144.45
1123,361.15,65.61
1124,356.78,62.89
1125,441.55,105.97
1126,1244.12,145.64
1127,5188.22,526.92
1128,501.96,52.52
1129,2982.46,487.85
1130,1428.23,123.16
1131,919.39,216.68
1132,2795.84,387.17
1133,2797.42,387.54
1134,1006.07,163.8
1135,1378.13,135.24
1136,830.53,99.14
1137,2097.85,211.52
1138,324.37,42.57
1139,369.55,38.01
1140,267.48,44.36
1141,983.06,107.18
1142,1993.78,261.98
1143,663.42,84.04
1144,354.17,85.0
1145,337.41,61.38
1146,1937.0,186.17
1147,2291.69,261.39
1148,755.85,133.97
1149,3233.54,415.98
1150,3349.47,421.4
1151,729.42,96.89
1152,785.44,101.9
1153,3912.46,359.22
1154,1723.47,167.19
1155,673.55,152.15
1156,72.17,19.58
1157,693.74,135.37
1158,4470.14,212.59
1159,1863.49,197.16
1160,1235.9,246.41
1161,484.34,72.57
1162,1639.09,209.64
1163,263.06,39.75
1164,565.48,77.98
1165,528.18,83.21
1166,445.35,70.88
1167,513.74,89.36
1168,819.22,71.74
1169,1255.81,156.2
1170,2469.02,318.67
1171,978.2,121.64
1172,1180.14,186.84
1173,1055.15,136.3
1174,941.89,97.04
1175,3063.54,375.19
1176,399.19,94.98
1177,1505.74,291.55
1178,836.35,120.15
1179,1880.82,177.18
1180,598.09,91.14
1181,1919.59,181.59
1182,4642.71,445.52
1183,565.48,77.98
1184,341.92,57.78
1185,696.11,107.72
1186,312.96,24.78
1187,377.58,67.96
1188,1386.96,228.25
1189,1133.93,128.73
1190,992.13,210.95
1191,2847.91,417.67
1192,495.83,68.04
1193,2210.92,216.9
1194,563.21,126.59
1195,1309.1,107.17
1196,763.5,120.66
1197,289.68,32.56
1198,1099.41,162.76
1199,902.47,135.21
1200,568.43,97.82
1201,620.59,83.46
1202,930.96,102.41
1203,1495.02,257.16
1204,1015.81,149.93
1205,1453.43,200.6
1206,774.71,66.88
1207,3034.26,475.06
1208,966.33,105.18
1209,2591.67,329.57
1210,903.02,137.21
1211,676.75,92.87
1212,443.35,59.26
1213,860.75,129.7
1214,454.81,78.16
1215,1276.98,141.27
1216,3040.86,294.29
1217,531.47,71.49
1218,325.0,34.13
1219,2223.72,229.07
1220,524.9,72.64
1221,1016.68,160.45
1222,454.89,83.04
1223,388.59,80.51
1224,673.93,103.98
1225,1060.83,179.29
1226,572.02,129.03
1227,1128.89,179.64
1228,2301.67,247.77
1229,788.6,189.25
1230,814.33,168.85
1231,1910.51,253.29
1232,808.2,121.33
1233,609.47,57.33
1234,1653.3,163.98
1235,753.76,180.9
1236,811.29,95.13
1237,1424.28,237.41
1238,1350.66,129.76
1239,543.87,89.88
1240,592.52,124.12
1241,569.85,95.41
1242,1898.26,291.78
1243,3067.97,351.58
1244,341.52,45.76
1245,561.36,99.51
1246,138.22,33.17
1247,799.97,122.14
1248,3147.25,271.75
1249,2242.02,227.03
1250,654.91,96.86
1251,2916.1,303.07
1252,217.57,29.58
1253,960.02,155.88
1254,326.53,61.95
1255,1091.83,126.93
1256,444.88,59.66
1257,260.0,54.48
1258,235.75,37.98
1259,1096.55,133.47
1260,994.07,83.73
1261,1159.42,159.2
1262,1368.89,293.25
1263,1212.59,165.01
1264,550.42,79.87
1265,277.48,40.66
1266,754.21,101.93
1267,1009.39,162.14
1268,546.81,74.06
1269,682.02,83.42
1270,784.2,129.53
1271,1129.18,123.69
1272,383.75,69.75
1273,3820.89,341.35
1274,2030.63,231.91
1275,379.98,84.92
1276,1222.25,151.21
1277,684.19,106.06
1278,627.49,90.35
1279,40.61,4.87
1280,1145.68,226.13
1281,1141.03,128.33
1282,452.7,52.87
1283,1104.54,138.63
1284,991.44,176.61
1285,1007.64,127.28
1286,1381.96,180.48
1287,909.07,154.91
1288,912.2,120.12
1289,777.96,81.74
1290,1935.75,225.18
1291,546.79,87.58
1292,637.97,102.4
1293,1100.78,199.8
1294,305.76,66.11
1295,2295.15,269.7
1296,1048.01,153.16
1297,2012.98,263.48
1298,2228.37,253.52
1299,775.62,129.28
1300,735.49,87.98
1301,277.18,66.52
1302,1393.23,226.13
1303,873.68,92.38
1304,946.48,101.97
1305,496.82,83.52
1306,644.08,86.78
1307,488.14,54.62
1308,1290.6,309.22
1309,551.08,133.63
1310,339.38,75.57
1311,881.45,109.15
1312,528.18,83.21
1313,559.85,83.0
1314,213.22,23.01
1315,937.89,136.77
1316,1104.69,130.49
1317,907.23,101.55
1318,770.66,107.24
1319,784.08,158.3
1320,783.75,107.0
1321,2016.21,199.52
1322,1676.6,213.03
1323,3132.37,307.42
1324,1147.81,123.71
1325,570.85,118.12
1326,255.57,50.64
1327,383.59,64.19
1328,679.84,82.83
1329,712.27,113.63
1330,886.74,123.48
1331,1046.39,145.15
1332,2339.22,255.9
1333,32.78,7.71
1334,741.66,114.32
1335,675.26,75.15
1336,597.84,73.06
1337,389.54,66.9
1338,275.66,43.82
1339,286.73,60.73
1340,842.14,99.75
1341,543.93,99.81
1342,632.7,98.76
1343,797.04,69.2
1344,1169.69,152.6
1345,483.75,76.12
1346,786.93,106.36
1347,104.85,25.16
1348,809.71,116.1
1349,177.21,30.8
1350,2171.68,227.5
1351,491.5,62.95
1352,1551.93,300.45
1353,305.18,42.45
1354,101.39,12.88
1355,1042.29,150.9
1356,219.08,44.42
1357,1282.54,117.65
1358,1605.36,227.73
1359,409.72,54.79
1360,1743.75,234.84
1361,825.97,118.93
1362,1347.25,170.02
1363,3727.02,389.01
1364,1815.01,169.51
1365,1112.29,147.26
1366,265.26,44.46
1367,429.02,61.78
1368,3372.63,328.27
1369,837.88,151.16
1370,1058.48,148.79
1371,173.87,41.73
1372,995.06,139.78
1373,99.52,8.95
1374,1905.15,230.24
1375,2905.64,366.53
1376,320.53,60.89
1377,1037.21,191.53
1378,568.41,66.8
1379,504.21,86.31
1380,778.64,151.86
1381,952.93,150.23
1382,460.73,59.62
1383,1716.97,148.38
1384,1332.18,161.85
1385,1261.25,141.7
1386,645.24,81.62
1387,656.39,105.13
1388,167.43,40.18
1389,837.88,151.16
1390,506.93,70.25
1391,507.98,103.03
1392,1018.52,148.68
1393,5017.29,397.66
1394,290.09,34.81
1395,182.21,36.6
1396,429.06,77.27
1397,1869.85,230.17
1398,1044.42,83.33
1399,1413.13,173.57
1400,242.01,44.99
1401,2291.99,282.61
1402,242.01,44.99
1403,352.14,84.51
1404,1170.65,185.3
1405,675.26,75.15
1406,777.16,121.77
1407,391.26,56.86
1408,525.11,72.69
1409,3012.13,410.47
1410,696.11,107.72
1411,777.16,121.77
1412,1243.3,92.55
1413,250.39,51.01
1414,663.64,105.37
1415,1336.78,118.31
1416,728.4,92.97
1417,3626.48,306.09
1418,4684.5,448.17
1419,1299.11,123.86
1420,780.78,112.42
1421,1452.23,230.53
1422,906.61,137.46
1423,1238.42,201.01
1424,5213.34,413.16
1425,801.35,126.24
1426,686.98,118.82
1427,117.56,21.16
1428,718.03,89.9
1429,444.44,66.86
1430,624.83,77.04
1431,641.09,118.07
1432,642.88,113.37
1433,463.85,61.35
1434,886.41,104.45
1435,941.06,132.08
1436,856.55,154.03
1437,485.97,75.22
1438,554.56,83.71
1439,872.51,91.16
1440,514.12,71.55
1441,571.93,82.82
1442,810.49,92.19
1443,1330.75,146.35
1444,324.15,55.47
1445,449.36,59.51
1446,942.92,84.72
1447,625.85,93.64
1448,501.64,99.93
1449,597.84,73.06
1450,3967.93,336.63
1451,556.56,62.3
1452,6101.37,495.78
1453,342.66,33.88
1454,1175.06,215.29
1455,221.23,15.93
1456,318.07,47.0
1457,764.76,115.84
1458,1285.14,174.01
1459,412.61,64.92
1460,847.23,122.34
1461,475.6,76.74
1462,950.8,133.35
1463,3983.45,403.75
1464,1852.06,190.26
1465,1371.38,156.21
1466,1547.17,187.28
1467,648.84,137.71
1468,885.25,124.55
1469,580.06,106.44
1470,624.24,110.93
1471,574.06,83.69
1472,2295.51,202.91
1473,873.02,135.85
1474,703.26,116.86
1475,538.83,53.59
1476,2265.48,335.74
1477,2142.97,257.22
1478,670.7,73.58
1479,378.45,77.31
1480,3158.54,287.48
1481,1150.65,150.14
1482,192.08,30.83
1483,117.81,17.15
1484,192.08,30.83
1485,606.96,109.72
1486,971.89,160.21
1487,973.08,122.25
1488,785.7,92.76
1489,1744.22,200.3
1490,1337.13,185.55
1491,3315.59,318.51
1492,938.64,225.26
1493,1006.07,163.8
1494,420.18,63.24
1495,396.05,57.62
1496,1832.52,204.26
1497,1204.28,195.87
1498,2844.62,364.66
1499,425.64,85.07
1500,804.35,64.48
1501,7671.17,836.29
1502,265.46,57.98
1503,1391.52,277.24
1504,578.63,138.87
1505,520.27,101.14
1506,1050.62,141.36
1507,560.16,64.96
1508,3057.62,169.61
1509,872.5,130.12
1510,877.62,116.36
1511,3715.31,358.5
1512,1401.49,188.07
1513,233.35,37.27
1514,712.27,113.63
1515,602.82,75.4
1516,892.18,89.46
1517,835.95,120.09
1518,1576.7,183.84
1519,1589.86,180.84
1520,878.26,178.91
1521,653.52,59.64
1522,935.07,144.46
1523,901.31,125.9
1524,723.84,93.45
1525,1095.56,160.34
1526,806.02,144.29
1527,488.32,81.08
1528,821.74,160.14
1529,444.54,90.52
1530,2180.52,229.65
1531,1895.66,337.01
1532,2620.68,472.3
1533,728.58,94.62
1534,1127.17,177.63
1535,1384.6,134.32
1536,1066.18,142.38
1537,641.67,100.21
1538,216.46,45.96
1539,922.95,107.4
1540,754.21,118.43
1541,1589.23,289.62
1542,790.77,118.34
1543,919.08,129.18
1544,1766.66,255.67
1545,955.62,141.36
1546,5017.98,359.15
1547,1155.57,146.43
1548,1137.07,88.58
1549,497.03,98.48
1550,396.76,45.28
1551,713.7,107.27
1552,156.51,12.52
1553,1236.3,144.45
1554,1637.01,208.11
1555,347.26,42.64
1556,978.47,103.42
1557,1467.88,214.63
1558,666.19,89.2
1559,268.05,34.47
1560,149.84,26.22
1561,942.26,174.79
1562,717.51,163.43
1563,1343.76,119.98
1564,507.2,68.7
1565,474.7,62.27
1566,1548.08,217.12
1567,401.67,96.4
1568,1294.03,220.74
1569,230.94,55.41
1570,4562.05,424.09
1571,796.01,114.62
1572,1223.55,168.53
1573,620.11,134.38
1574,584.57,84.62
1575,1257.63,202.21
1576,271.29,65.11
1577,1508.99,300.75
1578,919.1,172.29
1579,1811.88,157.65
1580,2433.8,227.04
1581,718.73,74.09
1582,2253.63,303.32
1583,663.96,150.09
1584,1508.99,300.75
1585,828.41,119.16
1586,666.14,103.22
1587,2850.38,282.62
1588,1138.56,129.6
1589,1257.11,180.73
1590,1660.82,279.52
1591,654.69,137.64
1592,440.97,39.1
1593,684.67,148.18
1594,889.5,94.1
1595,725.61,128.73
1596,725.61,128.73
1597,1181.18,112.15
1598,4034.68,456.89
1599,968.45,100.0
1600,402.96,50.32
1601,1296.71,113.74
1602,2212.1,205.17
1603,2022.05,462.98
1604,796.99,90.98
1605,1086.5,130.67
1606,509.5,97.31
1607,3644.08,406.26
1608,444.35,70.76
1609,759.66,146.62
1610,197.11,39.59
1611,774.86,142.24
1612,1411.5,160.51
1613,247.91,59.5
1614,921.85,105.04
1615,1041.98,250.07
1616,574.06,83.69
1617,1245.55,122.39
1618,723.61,100.28
1619,725.29,111.69
1620,1165.23,136.38
1621,1353.05,156.58
1622,842.58,126.88
1623,1374.95,170.24
1624,905.59,125.31
1625,225.52,40.51
1626,2721.41,243.38
1627,1461.29,286.64
1628,618.32,61.9
1629,493.63,83.56
