id,min_distance_to_school(m),min_duration_to_school(s)
1783,2226.96,220.8
1784,2268.91,305.14
1785,1642.67,264.39
1786,1642.67,264.39
1787,636.54,63.8
1788,606.15,84.08
1789,13832.15,827.52
1790,1790.02,152.19
1791,182.03,33.82
1792,1251.01,118.62
1793,952.52,125.79
1794,1016.73,159.85
1795,868.49,106.86
1796,505.83,72.55
1797,481.59,91.5
1798,871.8,198.26
1799,561.44,53.78
1800,1075.72,148.42
1801,429.09,68.69
1802,699.53,94.26
1803,914.72,188.01
1804,1385.27,182.18
1805,810.16,106.66
1806,700.28,133.09
1807,1225.42,143.43
1808,309.21,60.84
1809,613.29,82.09
1810,416.91,75.78
1811,228.45,47.83
1812,860.75,129.7
1813,4912.26,374.75
1814,2400.14,266.65
1815,668.74,72.13
1816,1112.69,105.02
1817,4123.87,446.3
1818,548.28,62.84
1819,1007.41,140.22
1820,495.83,68.04
1821,862.94,123.05
1822,623.66,77.0
1823,704.45,93.03
1824,1091.01,158.22
1825,1091.01,158.22
1826,722.6,105.66
1827,827.46,126.05
1828,290.13,38.96
1829,4257.78,358.1
1830,709.51,103.05
1831,799.99,91.63
1832,1872.11,168.62
1833,1190.79,93.37
1834,2563.78,202.62
1835,707.37,133.71
1836,627.52,67.94
1837,1432.43,129.51
1838,1437.2,216.54
1839,1230.28,189.25
1840,706.16,65.25
1841,396.1,53.85
1842,1600.84,258.48
1843,1645.95,215.75
1844,1261.53,137.12
1845,808.2,121.33
1846,1303.36,203.19
1847,1303.36,203.19
1848,1303.36,203.19
1849,1303.36,203.19
1850,1303.36,203.19
1851,3953.8,345.26
1852,484.54,42.74
1853,1251.67,157.03
1854,5613.49,607.78
1855,734.98,106.68
1856,1285.95,215.38
1857,781.48,122.16
1858,511.27,63.8
1859,837.65,142.25
1860,750.95,97.66
1861,484.54,42.74
1862,418.71,69.77
1863,1235.04,140.47
1864,1313.43,158.61
1865,6099.0,567.96
1866,417.4,61.38
1867,517.11,86.45
1868,400.67,93.48
1869,854.13,127.88
1870,507.25,68.09
1871,825.77,134.09
1872,1108.16,265.95
1873,3905.0,352.94
1874,1090.45,139.28
1875,1316.8,147.39
1876,445.01,69.69
1877,2075.39,198.3
1878,1281.17,178.6
1879,1039.71,102.86
1880,323.39,82.46
1881,982.58,142.04
1882,1533.85,238.05
1883,59.52,10.25
1884,772.41,110.88
1885,1171.25,179.03
1886,427.88,50.2
1887,1387.38,112.93
1888,1568.42,194.95
1889,961.53,102.96
1890,19462.77,1142.77
1891,267.36,50.43
1892,453.67,68.13
1893,569.85,95.41
1894,645.62,109.79
1895,1136.09,123.17
1896,657.18,104.22
1897,524.11,112.44
1898,852.76,127.76
1899,682.26,93.32
1900,1126.27,184.1
1901,317.12,57.85
1902,5056.52,565.76
1903,373.49,39.37
1904,1292.55,176.46
1905,3678.11,291.81
1906,896.88,150.26
1907,919.1,172.29
1908,535.6,91.91
1909,1276.47,175.09
1910,383.03,62.26
1911,1431.11,200.25
1912,176.08,21.05
1913,880.37,89.84
1914,982.37,155.53
1915,3452.2,400.33
1916,7157.23,680.51
1917,1587.54,147.18
1918,806.72,98.94
1919,272.76,41.03
1920,389.5,50.48
1921,656.39,105.13
1922,1823.99,302.73
1923,439.16,87.27
1924,313.46,65.27
1925,847.34,106.47
1926,1228.27,138.58
1927,289.33,45.19
1928,1303.99,205.68
1929,1541.8,229.84
1930,1456.98,143.4
1931,1004.81,144.45
1932,1033.19,169.47
1933,1223.55,168.53
1934,624.61,97.5
1935,996.03,125.31
1936,1159.59,199.15
1937,867.2,120.93
1938,914.19,147.02
1939,641.35,136.04
1940,410.03,79.19
1941,2436.02,294.89
1942,836.35,120.15
1943,957.76,162.0
1944,3203.41,317.99
1945,1028.64,166.07
1946,1582.08,310.71
1947,2406.25,311.28
1948,685.55,124.47
1949,2646.44,349.65
1950,1026.24,140.23
1951,1023.7,169.24
1952,629.72,100.08
1953,1440.07,213.91
1954,605.53,83.41
1955,864.32,128.03
1956,456.68,60.55
1957,342.88,56.37
1958,775.6,122.75
1959,345.19,24.85
1960,744.6,162.38
1961,1348.95,142.7
1962,2373.43,292.32
1963,1095.56,160.34
1964,4985.52,376.32
1965,207.47,49.79
1966,1558.57,196.44
1967,1285.5,201.15
1968,1648.69,156.04
1969,1130.6,97.72
1970,464.92,70.18
1971,1079.83,106.55
1972,1141.98,146.13
1973,1028.9,106.42
1974,847.15,109.68
1975,390.25,73.01
1976,644.04,154.57
1977,418.9,61.22
1978,917.95,111.81
1979,1030.21,136.61
1980,416.33,65.12
1981,533.96,113.71
1982,555.9,91.26
1983,1050.67,130.79
1984,1065.29,184.24
1985,1217.46,152.79
1986,607.77,52.87
1987,825.35,115.21
1988,689.9,119.09
1989,1451.59,194.88
1990,868.03,172.12
1991,1038.34,170.87
1992,897.68,126.29
1993,3476.5,612.93
1994,912.54,194.71
1995,495.54,83.86
1996,889.75,139.9
1997,749.85,119.49
1998,950.58,133.1
1999,640.8,153.79
2000,243.08,40.84
2001,654.94,88.48
2002,465.18,92.5
2003,740.13,100.39
2004,357.14,59.28
2005,1129.69,128.54
2006,5232.11,578.34
2007,1830.39,242.93
2008,320.58,67.56
2009,960.17,151.75
2010,881.54,114.92
2011,371.15,66.86
2012,2249.4,136.76
2013,463.97,61.95
2014,3514.89,272.22
2015,1033.19,169.47
2016,700.68,109.7
2017,824.52,164.22
2018,871.61,128.49
2019,374.05,67.28
2020,6115.73,558.57
2021,809.18,114.55
2022,429.65,45.34
2023,577.71,74.57
2024,344.57,64.73
2025,825.72,128.34
2026,446.17,46.09
2027,5395.18,420.74
2028,1505.2,188.73
2029,475.08,104.02
2030,660.59,96.64
2031,3114.57,267.6
2032,660.59,96.64
2033,583.53,105.95
2034,583.53,105.95
2035,731.24,124.42
2036,1898.56,213.12
2037,4774.72,438.99
2038,616.21,147.89
2039,601.78,95.19
2040,290.09,34.81
2041,374.05,67.28
2042,1029.84,194.47
2043,920.62,85.84
2044,840.54,105.73
2045,1012.11,157.83
2046,768.73,114.09
2047,436.79,54.28
2048,7012.23,705.44
2049,874.36,131.27
2050,1093.47,96.58
2051,247.37,50.52
2052,922.06,118.38
2053,1190.54,207.17
2054,1291.67,184.26
2055,1611.53,319.69
2056,1016.02,134.2
2057,938.71,163.97
2058,211.45,34.68
2059,334.52,47.93
2060,1317.25,151.66
2061,348.72,52.74
2062,1470.65,200.18
2063,390.38,55.78
2064,1694.32,217.05
2065,9045.63,555.95
2066,1267.41,92.7
2067,624.5,118.06
2068,586.59,76.07
2069,745.86,116.32
2070,117.56,21.16
2071,355.53,52.48
2072,223.6,46.24
2073,912.31,183.79
2074,1295.57,167.77
2075,794.26,113.11
2076,986.03,120.86
2077,2372.52,289.88
2078,1328.55,121.88
2079,676.48,75.07
2080,1175.35,143.45
2081,4663.1,484.77
2082,2220.38,242.7
2083,983.84,85.63
2084,1552.86,270.53
2085,757.59,120.65
2086,391.26,56.86
2087,377.94,47.92
2088,551.87,71.79
2089,538.63,112.18
2090,1041.59,135.18
2091,249.71,31.07
2092,625.06,96.01
2093,395.52,64.85
2094,717.98,172.3
2095,11610.14,1115.32
2096,740.92,125.44
2097,815.71,126.55
2098,1261.03,182.85
2099,187.99,11.28
2100,766.43,93.72
2101,1855.48,187.34
2102,287.07,39.45
2103,568.45,100.04
2104,916.58,133.88
2105,819.42,118.82
2106,443.23,58.96
2107,288.05,32.61
2108,2625.73,248.58
2109,1029.21,167.49
2110,1137.28,124.05
2111,1501.24,218.95
2112,300.13,52.89
2113,281.81,61.71
2114,2790.45,250.15
2115,657.18,104.22
2116,693.87,102.92
2117,429.76,49.41
2118,909.49,126.88
2119,767.05,127.63
2120,1285.95,215.38
2121,177.65,32.21
2122,685.0,148.22
2123,7354.61,670.53
2124,769.72,127.72
2125,585.06,77.1
2126,1538.48,210.79
2127,5667.18,379.43
2128,488.27,103.22
2129,1685.01,180.17
2130,1007.68,129.65
2131,900.76,129.22
2132,3404.63,434.23
2133,1430.98,167.22
2134,440.12,63.81
2135,3330.18,373.98
2136,860.75,129.7
2137,885.54,136.15
2138,1285.95,215.38
2139,717.99,143.63
2140,590.18,107.08
2141,1749.04,223.21
2142,1800.19,238.58
2143,524.01,80.33
2144,251.42,19.0
2145,222.78,43.96
2146,2514.65,306.49
2147,694.2,75.19
2148,626.24,71.73
2149,814.28,132.87
2150,2258.47,270.69
2151,2258.47,270.69
2152,445.35,70.88
2153,262.7,27.02
2154,14907.68,786.08
2155,773.31,161.29
2156,2138.64,228.19
2157,561.44,53.78
2158,360.05,73.14
2159,361.81,84.94
2160,4734.48,537.2
2161,263.06,39.75
2162,280.52,51.74
2163,458.27,92.17
2164,879.5,124.55
2165,1013.06,142.47
2166,2486.37,321.25
2167,2106.44,230.02
2168,3644.08,406.26
2169,263.06,39.75
2170,194.27,42.98
2171,942.3,106.25
2172,717.45,116.38
2173,2960.81,368.86
2174,370.66,70.34
2175,3938.65,396.86
2176,378.61,58.18
2177,700.28,133.09
2178,611.64,84.52
2179,1386.03,152.18
2180,957.3,173.46
2181,934.8,118.45
2182,1383.96,118.11
2183,536.17,80.08
2184,389.9,93.57
2185,1103.89,154.37
2186,435.57,78.79
2187,1187.03,149.65
2188,206.24,24.35
2189,1667.25,250.42
2190,728.46,162.08
2191,639.2,114.54
2192,879.28,124.86
2193,2610.53,258.07
2194,702.39,101.87
2195,609.73,110.74
2196,639.47,82.69
2197,644.91,75.31
2198,461.14,84.03
2199,785.24,143.32
2200,1439.28,245.28
2201,4333.78,375.91
2202,640.27,55.0
2203,4535.23,422.52
2204,11964.51,1068.3
2205,495.53,72.29
2206,749.26,162.16
2207,1461.43,189.8
2208,746.8,107.62
2209,1497.47,195.93
2210,738.01,114.57
2211,852.76,127.76
2212,647.02,155.27
2213,647.02,155.27
2214,2028.95,275.99
2215,1017.58,137.53
2216,775.6,122.75
2217,1028.37,110.56
2218,1283.25,148.71
2219,580.89,94.46
2220,328.16,49.67
2221,1360.5,210.0
2222,4846.15,468.1
2223,2807.83,328.51
2224,698.09,141.51
2225,1249.14,223.04
2226,765.35,141.38
2227,1164.39,155.04
2228,873.51,160.59
2229,312.11,69.06
2230,1170.18,242.36
2231,472.12,77.61
2232,1344.04,117.98
2233,184.16,25.37
2234,9.07,2.18
2235,1401.86,190.01
2236,1236.49,146.54
2237,1401.86,190.01
2238,582.34,101.12
2239,413.15,72.69
2240,234.36,52.31
2241,802.76,118.62
2242,641.66,77.16
2243,1174.7,161.46
2244,1354.42,220.77
2245,703.56,101.98
2246,683.32,77.73
2247,2376.91,270.61
2248,225.99,40.92
2249,2526.36,248.93
2250,2153.38,265.71
2251,541.37,91.53
2252,652.24,88.45
2253,597.84,73.06
2254,431.01,62.06
2255,1481.73,207.8
2256,1132.11,185.44
2257,248.46,31.25
2258,810.87,95.82
2259,9693.06,744.06
2260,541.53,72.81
2261,745.86,116.32
2262,670.51,105.62
2263,860.83,129.71
2264,3040.59,386.87
2265,16313.67,882.35
2266,1301.86,178.06
2267,523.14,85.69
2268,523.14,85.69
2269,838.59,122.93
2270,339.28,55.98
2271,339.28,55.98
2272,672.61,88.68
2273,676.96,140.88
2274,662.98,93.23
2275,990.83,170.96
2276,710.24,87.78
2277,414.47,61.97
2278,1277.57,129.33
2279,1051.58,118.64
2280,696.1,88.06
2281,648.76,98.64
2282,5629.92,607.91
2283,571.98,65.74
2284,719.87,105.72
2285,931.44,133.01
2286,452.44,74.73
2287,1048.01,153.16
2288,529.57,66.62
2289,900.11,128.48
2290,587.76,115.98
2291,997.69,144.31
2292,1512.29,191.21
2293,1353.05,156.58
2294,571.98,65.74
2295,892.29,122.05
2296,1437.62,172.27
2297,4018.31,407.94
2298,255.71,48.97
2299,677.12,118.15
2300,296.78,63.37
2301,821.62,159.47
2302,530.84,79.82
2303,1665.44,235.19
2304,1212.87,168.99
2305,361.35,78.68
2306,1455.85,161.1
2307,520.28,74.32
2308,444.35,70.76
2309,533.92,73.06
2310,6534.31,336.86
2311,1656.8,199.99
2312,8992.79,1068.44
2313,3146.27,432.9
2314,454.88,85.36
2315,414.79,56.35
2316,567.52,48.35
2317,635.67,71.61
2318,1137.65,178.31
2319,842.17,132.6
2320,1231.41,163.87
2321,564.42,81.9
2322,1111.73,163.28
2323,942.29,138.14
2324,7331.0,561.32
2325,1334.64,147.97
2326,346.26,45.37
2327,6802.91,675.3
2328,1732.77,275.97
2329,2054.7,186.1
2330,462.64,50.53
2331,205.14,41.72
2332,1136.5,183.76
2333,346.26,45.37
2334,617.48,99.28
2335,2532.66,255.64
2336,1007.68,129.65
2337,487.81,51.85
2338,1387.71,143.05
2339,889.36,145.32
2340,3686.08,303.1
2341,617.48,99.28
2342,185.85,37.98
2343,396.44,65.49
2344,463.5,71.79
2345,463.5,71.79
2346,836.35,120.15
2347,1006.07,163.8
2348,614.5,82.38
2349,430.87,66.29
2350,199.86,34.6
2351,1990.92,211.91
2352,793.89,102.8
2353,1301.86,235.15
2354,744.24,111.0
2355,932.72,126.01
2356,836.39,129.25
2357,744.22,105.99
2358,307.79,38.1
2359,275.25,40.28
2360,745.07,148.99
2361,208.43,44.05
2362,902.47,115.69
2363,2243.14,271.44
2364,408.37,59.96
2365,1617.47,207.69
2366,670.67,131.36
2367,4160.63,412.84
2368,1091.15,133.95
2369,8661.01,545.61
2370,1901.53,222.24
2371,716.19,66.31
2372,370.66,70.34
2373,1020.2,162.34
2374,631.83,91.02
2375,2548.57,217.31
2376,300.61,38.96
2377,118.48,25.8
2378,925.24,155.66
2379,1338.31,156.93
2380,692.11,118.54
2381,821.07,127.58
2382,6912.53,710.69
2383,2007.59,335.35
2384,1170.65,185.3
2385,729.64,87.12
2386,770.25,114.31
2387,4764.11,463.01
2388,1044.79,171.29
2389,263.06,39.75
2390,1344.24,226.66
2391,586.91,140.86
2392,1374.72,156.95
2393,1891.4,215.5
2394,797.06,87.49
2395,262.08,39.52
2396,1633.89,157.62
2397,915.12,155.58
2398,785.64,104.19
2399,863.65,168.79
2400,891.69,206.6
2401,419.13,98.34
2402,529.45,131.85
2403,3669.45,334.11
2404,2079.76,224.4
2405,319.15,49.71
2406,430.87,66.29
2407,410.03,79.19
2408,490.41,119.66
2409,465.27,63.88
2410,757.68,119.38
2411,640.81,81.46
2412,749.14,98.55
2413,3064.06,288.95
2414,901.57,117.25
2415,657.18,104.22
2416,944.32,159.8
2417,1155.26,143.66
2418,5658.83,447.59
2419,785.36,61.61
2420,753.17,55.21
2421,1384.48,127.36
2422,1730.45,294.76
2423,4384.94,472.51
2424,3760.69,392.47
2425,619.15,115.71
2426,1042.29,150.9
2427,1819.67,256.22
2428,1589.69,191.95
2429,294.0,64.96
2430,1331.32,226.16
2431,1395.41,231.29
2432,704.87,138.79
2433,2828.04,286.32
2434,548.22,117.13
2435,913.36,121.3
2436,1505.71,272.09
2437,321.88,42.86
2438,3265.71,363.06
2439,429.39,94.15
2440,1571.04,217.46
2441,934.72,110.68
2442,1175.76,144.86
2443,479.18,87.99
2444,982.37,155.53
2445,2641.15,316.04
2446,685.58,101.86
2447,2883.59,338.44
2448,4990.68,292.69
2449,2186.89,219.74
2450,369.93,25.43
2451,880.01,129.82
2452,485.29,69.88
2453,2527.93,259.8
2454,1601.31,141.74
2455,777.78,131.47
2456,1126.96,155.12
2457,2258.47,270.69
2458,378.73,35.06
2459,324.34,61.81
2460,902.96,115.75
2461,1641.19,228.18
2462,315.51,62.35
2463,703.53,116.51
2464,1958.47,204.4
2465,1957.57,268.56
2466,1597.61,194.95
2467,971.2,130.51
2468,1028.29,154.95
2469,910.66,96.65
2470,369.5,45.68
2471,633.16,54.88
2472,836.35,120.15
2473,1240.71,150.32
2474,317.94,44.02
2475,1305.07,184.81
2476,433.8,92.55
2477,385.15,64.68
2478,879.64,129.93
2479,555.38,61.2
2480,671.52,128.49
2481,1127.55,200.65
2482,310.87,53.82
2483,2647.22,211.1
2484,986.26,120.25
2485,718.02,89.9
2486,712.19,104.19
2487,3198.03,276.29
2488,972.46,156.68
2489,1339.92,141.34
2490,1822.56,186.88
2491,765.26,138.55
2492,1055.83,147.78
2493,2361.12,192.25
2494,1149.14,141.69
2495,642.28,107.99
2496,11346.35,741.76
2497,583.76,125.92
2498,1429.72,151.57
2499,972.75,97.26
2500,1210.68,136.08
2501,1027.16,124.53
2502,2090.78,290.97
2503,1801.45,176.77
2504,1073.37,150.26
2505,865.15,179.9
2506,1048.82,120.26
2507,2309.58,324.23
2508,1135.33,213.1
2509,1916.89,253.27
2510,924.88,106.36
2511,420.21,50.57
2512,575.93,101.49
2513,674.48,102.33
2514,1608.16,157.18
2515,778.55,121.89
2516,1388.04,185.05
2517,1754.34,318.22
2518,466.42,52.59
2519,1669.65,233.31
2520,267.36,50.43
2521,273.54,36.29
2522,602.6,130.18
2523,1748.31,250.91
2524,1170.65,185.3
2525,783.43,128.34
2526,1498.82,173.37
2527,491.96,57.46
2528,1912.98,270.61
2529,1617.67,230.69
2530,883.59,128.97
2531,538.25,64.02
2532,362.39,61.97
2533,5322.99,342.73
2534,688.52,93.64
2535,263.06,39.75
2536,480.54,86.7
2537,1091.59,130.18
2538,1233.83,168.02
2539,507.66,98.52
2540,3644.08,406.26
2541,500.67,83.84
2542,911.45,122.45
2543,616.48,61.22
2544,471.33,56.56
2545,570.69,132.25
2546,763.98,128.53
2547,1039.23,150.75
2548,1096.09,157.82
2549,705.95,86.38
2550,1316.94,170.09
2551,657.18,104.22
2552,543.1,103.07
2553,920.21,132.5
2554,1195.68,183.72
2555,769.22,126.57
2556,1141.84,126.84
2557,504.8,67.78
2558,669.32,79.97
2559,1277.51,136.85
2560,506.31,62.16
2561,841.04,85.53
2562,686.2,85.82
2563,1170.65,185.3
2564,433.29,68.14
2565,269.03,42.71
2566,284.78,39.91
2567,1056.63,123.02
2568,1571.99,202.17
2569,738.3,129.08
2570,124.28,12.38
2571,238.48,38.82
2572,764.0,80.4
2573,1286.67,127.34
2574,1010.19,180.21
2575,2005.37,286.96
2576,496.52,66.04
2577,889.84,213.56
2578,693.07,80.32
2579,3062.86,226.25
2580,751.03,135.98
2581,2176.19,304.35
2582,11475.62,539.47
2583,1286.3,170.09
2584,1129.69,128.54
2585,1173.8,212.08
2586,221.85,36.79
2587,7431.23,544.77
2588,703.5,93.33
2589,477.8,160.0
2590,2736.51,336.34
2591,980.21,132.2
2592,610.97,78.88
2593,885.79,112.68
2594,1067.9,149.18
2595,1123.89,114.14
2596,702.02,85.85
2597,408.06,62.81
2598,308.6,57.86
2599,5620.83,622.65
2600,953.78,184.77
2601,308.6,57.86
2602,1181.11,194.46
2603,1472.78,232.66
2604,1490.74,181.01
2605,524.94,98.95
2606,323.39,82.46
2607,809.38,124.39
2608,773.07,96.7
2609,1171.25,179.03
2610,708.05,87.48
2611,1071.55,144.42
2612,716.12,44.12
2613,224.48,34.31
2614,538.21,75.65
2615,540.28,106.11
2616,657.81,138.64
2617,1350.06,175.05
2618,555.89,67.28
2619,921.9,114.67
2620,1111.47,208.65
2621,1377.05,185.77
2622,2400.11,242.98
2623,3062.74,327.98
2624,1459.62,162.79
2625,6385.75,662.42
2626,2165.75,285.95
2627,889.5,94.1
2628,2200.91,279.5
2629,2784.18,249.9
2630,567.61,87.75
2631,775.6,122.75
2632,380.12,56.66
2633,496.44,87.0
2634,2729.46,283.87
2635,724.01,173.76
2636,912.35,141.15
2637,543.77,67.65
2638,882.68,78.31
2639,126.0,19.55
2640,8975.12,781.96
2641,684.19,106.06
2642,352.4,79.78
2643,174.63,26.8
2644,3201.53,240.96
2645,174.63,26.8
2646,625.98,141.46
2647,635.3,117.55
2648,564.05,46.51
2649,191.07,21.69
2650,1367.18,261.28
2651,520.27,101.14
2652,1032.77,142.83
2653,814.28,132.87
2654,820.45,127.02
2655,1184.09,171.37
2656,312.01,43.38
2657,530.63,64.83
2658,792.3,82.94
2659,1235.55,136.5
2660,2579.29,395.43
2661,1575.44,174.46
2662,406.47,58.53
2663,444.5,46.11
2664,889.5,94.1
2665,475.13,95.42
2666,1044.74,140.17
2667,412.93,91.12
2668,844.43,102.22
2669,1222.67,192.53
2670,1079.3,125.58
2671,558.11,80.96
2672,1235.55,177.06
2673,203.33,44.25
2674,941.73,115.14
2675,710.6,98.68
2676,960.17,151.75
2677,934.62,82.12
2678,391.26,56.86
2679,678.64,107.89
2680,369.08,47.36
2681,497.52,75.32
2682,777.26,110.36
2683,257.73,32.03
2684,903.82,137.56
2685,451.21,68.72
2686,198.16,17.07
2687,398.83,59.24
2688,340.46,72.68
2689,16693.09,915.91
2690,597.32,65.35
2691,2130.85,190.55
2692,262.98,42.3
2693,1960.4,456.51
2694,180.86,31.05
2695,2020.5,176.47
2696,3511.78,294.13
2697,737.46,141.08
2698,282.04,34.71
2699,1771.01,269.8
2700,3466.17,315.3
2701,937.55,202.48
2702,1380.13,174.23
2703,7828.15,479.2
2704,1130.94,145.68
2705,693.16,110.22
2706,1728.91,172.12
2707,1728.91,172.12
2708,1060.26,101.24
2709,628.78,95.75
2710,3799.2,337.15
2711,2034.41,391.27
2712,354.19,67.07
2713,7264.12,744.0
2714,256.19,36.89
2715,750.27,108.03
2716,1103.67,143.69
2717,1137.28,124.05
2718,1779.51,186.26
2719,1883.47,268.01
2720,4714.31,705.39
2721,889.5,94.1
2722,1334.3,255.04
2723,2552.1,233.06
2724,835.95,120.09
2725,171.11,32.21
2726,1118.34,129.91
2727,1762.98,176.32
2728,1012.5,127.96
2729,6049.55,527.24
2730,896.95,137.66
2731,764.53,73.54
2732,763.5,120.66
2733,183.52,35.89
2734,902.81,115.3
2735,93.37,24.6
2736,1700.14,303.07
2737,650.73,105.66
2738,746.58,114.76
2739,308.6,57.86
2740,902.22,86.64
2741,3294.63,368.86
2742,402.41,46.03
2743,95.18,22.84
2744,523.6,83.09
2745,1217.96,133.74
2746,1052.02,105.46
2747,2391.62,274.66
2748,654.13,90.61
2749,577.36,62.85
2750,681.56,120.86
2751,5672.24,643.08
2752,959.71,124.24
2753,1967.23,218.15
2754,2906.43,363.94
2755,2414.83,298.51
2756,234.82,29.42
2757,462.29,71.5
2758,5900.91,460.27
2759,13876.99,870.54
2760,553.63,85.39
2761,4097.65,361.78
2762,1315.44,158.91
2763,1394.51,209.58
2764,3469.59,309.27
2765,204.52,42.26
2766,178.78,20.48
2767,1166.58,122.82
2768,1588.22,152.86
2769,1524.62,203.11
2770,1506.79,189.1
2771,702.81,93.71
2772,264.8,40.53
2773,565.79,89.49
2774,1112.41,132.35
2775,174.63,26.8
2776,743.12,133.98
2777,315.55,65.04
2778,1417.68,163.22
2779,1432.2,131.57
2780,1182.52,115.77
2781,1693.26,214.5
2782,930.28,108.37
2783,502.49,59.3
2784,1416.65,179.73
2785,1386.05,210.43
2786,569.77,79.45
2787,1520.56,223.38
2788,625.63,61.07
2789,377.29,88.84
2790,842.41,112.28
2791,806.54,102.61
2792,705.55,96.89
2793,835.95,120.09
2794,1112.43,191.67
2795,1092.21,207.09
2796,251.18,46.91
2797,378.61,58.18
2798,650.12,95.72
2799,28.31,3.4
2800,1288.66,254.44
2801,444.88,27.63
2802,909.1,94.21
2803,222.44,41.81
2804,5354.11,703.88
2805,866.44,128.78
2806,454.25,82.81
2807,3645.47,446.71
2808,335.17,61.65
2809,4519.07,350.23
2810,622.6,115.69
2811,1097.19,173.45
2812,192.18,23.37
2813,609.26,92.33
2814,3218.53,390.56
2815,965.57,133.96
2816,1097.19,173.45
2817,1082.77,177.8
2818,2018.81,202.9
2819,408.56,58.83
2820,651.12,81.84
2821,1292.81,169.14
2822,446.0,89.53
2823,325.55,47.13
2824,1510.93,125.52
2825,1086.68,185.0
2826,891.84,122.54
2827,650.74,87.86
2828,946.05,98.28
2829,6390.71,391.43
2830,1234.19,143.47
2831,800.52,102.08
2832,1222.21,134.02
2833,1354.2,174.04
2834,929.44,143.31
2835,2279.56,289.04
2836,2040.73,332.23
2837,21938.11,1144.28
2838,731.03,104.98
2839,1311.73,129.53
2840,691.63,95.25
2841,482.58,55.58
2842,686.07,87.29
2843,860.98,173.56
2844,290.09,34.81
2845,450.14,66.06
2846,1802.18,282.29
2847,1208.47,172.26
2848,670.87,134.16
2849,814.28,132.87
2850,1452.57,231.41
2851,651.29,104.07
2852,1773.5,249.95
2853,1973.81,284.03
2854,1153.74,172.67
2855,476.95,89.98
2856,868.33,111.47
2857,568.85,87.82
2858,1121.08,244.35
2859,582.05,72.96
2860,1284.5,187.83
2861,1392.44,209.46
2862,801.29,108.71
2863,673.62,106.82
2864,707.35,97.93
2865,748.95,167.69
2866,680.45,163.3
2867,860.25,122.5
2868,1620.3,191.21
2869,1684.66,269.29
2870,15224.26,675.26
2871,1518.23,247.23
2872,1403.66,210.11
2873,458.05,90.34
2874,713.19,171.16
2875,1018.52,156.39
2876,688.9,76.14
2877,402.41,46.03
2878,807.26,131.6
2879,1258.17,153.4
2880,386.6,67.31
2881,47.62,6.86
2882,1328.55,121.88
2883,967.48,110.68
2884,892.64,173.22
2885,1370.93,248.85
2886,2952.32,288.24
2887,448.4,93.46
2888,647.97,103.11
2889,2476.73,342.02
2890,1051.82,101.79
2891,1237.35,169.45
2892,1167.53,129.97
2893,1319.5,148.78
2894,1663.78,187.07
2895,1343.99,137.23
2896,4619.48,276.23
2897,1003.13,90.45
2898,204.15,30.48
2899,1080.08,224.65
2900,920.05,126.41
2901,1029.11,143.1
2902,9553.07,601.42
2903,3362.09,347.59
2904,441.41,104.9
2905,420.84,45.42
2906,2268.73,216.01
2907,235.19,56.44
2908,457.94,97.9
2909,798.9,153.56
2910,865.29,114.31
2911,991.36,234.52
2912,356.01,64.08
2913,852.17,117.0
2914,5057.15,371.35
2915,1482.36,217.82
2916,2530.71,273.97
2917,776.78,185.17
2918,743.16,132.4
2919,1924.62,193.39
2920,870.44,122.03
2921,1765.31,172.43
2922,5293.89,405.7
2923,2431.2,279.57
2924,489.92,67.78
2925,5563.85,434.67
2926,1400.17,156.87
2927,601.78,95.19
2928,414.64,80.83
2929,818.55,113.64
2930,812.66,112.79
2931,4651.6,378.43
2932,1175.84,137.31
2933,597.77,84.56
2934,630.1,62.02
2935,120.94,19.26
2936,120.94,19.26
2937,1323.73,194.41
2938,744.31,100.49
2939,29046.32,1905.74
2940,192.98,34.74
2941,177.52,42.6
2942,19.64,2.71
2943,789.85,106.5
2944,1148.46,211.32
2945,237.53,50.48
2946,552.98,66.09
2947,2086.53,152.97
2948,420.54,60.07
2949,2107.38,230.63
2950,852.71,165.46
2951,883.59,128.97
2952,257.49,43.22
2953,515.39,76.49
2954,777.41,125.26
2955,660.22,75.03
2956,1953.15,205.83
2957,10041.55,950.69
2958,801.29,108.71
2959,677.64,90.91
2960,374.77,89.94
2961,532.74,91.65
2962,780.51,122.86
