,min_dist,min_dur
1906,1412.29,226.1
1907,5500.2,683.68
1908,24493.98,2332.89
1909,139740.83,6868.44
1910,47698.2,2620.19
1911,2088.72,274.38
1912,41858.33,2492.56
1913,5298.04,731.38
1914,122714.95,6034.07
1915,81318.13,4037.84
1916,99801.86,5861.73
1917,2051.97,268.35
1918,6964.54,788.93
1919,5013.27,580.15
1920,1059.97,165.11
1921,54014.02,3180.34
1922,13551.3,1758.98
1923,122610.31,5562.85
1924,102272.09,5124.44
1925,20978.3,1658.72
1926,29849.8,2030.39
1927,74547.0,4229.45
1928,153862.69,7290.3
1929,315921.41,13192.48
1930,6141.34,879.52
1931,9135.48,961.64
1932,19303.86,1549.8
1933,1091.78,172.74
1934,10714.79,1059.36
1935,54388.33,3435.23
1936,22122.63,1575.11
1937,11616.84,1155.49
1938,71872.45,3748.71
1939,1358.47,213.82
1940,38167.91,2227.55
1941,1394.66,199.12
1942,18128.09,1516.2
1943,98287.47,5912.83
1944,7195.25,838.22
1945,68805.19,3667.43
1946,38841.64,2293.05
1947,2930.41,383.32
1948,38378.34,2282.32
1949,52042.61,2690.13
1950,50713.51,2879.83
1951,14131.29,1422.95
1952,219085.52,10178.4
1953,2469.23,303.39
1954,29642.04,2341.98
1955,9694.97,1238.02
1956,4045.58,537.6
1957,2261.42,309.16
1958,15410.2,1420.01
1959,7215.38,767.25
1960,32919.13,2240.29
1961,47010.26,2687.92
1962,3275.9,476.33
1963,107171.36,5199.99
1964,106851.33,6314.19
1965,14683.98,1766.91
1966,8811.9,1159.82
1967,99027.31,5809.3
1968,18133.79,1762.73
1969,4150.81,588.52
1970,48135.06,2696.73
1971,22651.76,1645.24
1972,33438.56,2298.03
1973,7372.62,863.67
1974,10228.41,1306.41
1975,7617.27,1036.87
1976,9978.04,1090.24
1977,4441.54,603.32
1978,8676.59,1003.22
1979,27332.9,2019.89
1980,3299.71,464.71
1981,4363.55,553.37
1982,3787.69,466.66
1983,3717.04,517.25
1984,214475.92,10091.18
1985,83981.74,4332.55
1986,10054.59,1143.69
1987,3911.11,582.16
1988,12350.37,1319.39
1989,3410.8,494.66
1990,200390.2,8689.64
1991,6323.88,710.33
1992,62665.95,3456.51
1993,6305.71,849.15
1994,19537.32,1533.54
1995,32464.38,2352.19
1996,12617.61,1621.0
1997,1566.45,219.48
1998,32090.04,2395.82
1999,5182.99,587.21
2000,125193.15,5729.75
2001,14636.21,1306.14
2002,15731.4,1378.68
2003,4278.52,569.9
2004,10647.52,998.03
2005,42222.74,2618.33
2006,12494.15,1340.09
2007,9781.73,1049.52
2008,2036.8,286.06
2009,4975.19,632.02
2010,2029.46,306.76
2011,60406.98,3079.07
2012,5476.16,597.84
2013,105547.5,5090.55
2014,9135.48,961.64
2015,15071.21,1389.2
2016,9929.51,1274.94
2017,1243.63,173.01
2018,862.4,129.73
2019,33609.14,2077.44
2020,1329.31,198.41
2021,25337.88,1959.71
2022,17507.74,1741.26
2023,536766.5,22332.87
2024,6435.29,837.76
2025,13649.09,1345.35
2026,107459.41,5239.06
2027,6387.98,929.16
2028,4829.28,670.43
2029,11131.89,977.41
2030,127639.01,5850.95
2031,11131.89,977.41
2032,13938.54,1196.02
2033,13938.54,1196.02
2034,2389.55,364.31
2035,122845.65,5857.93
2036,143873.64,7131.21
2037,27420.58,2161.88
2038,2087.6,281.6
2039,947.53,138.87
2040,862.4,129.73
2041,34664.18,2505.59
2042,21080.02,2027.74
2043,16222.61,1622.91
2044,11973.65,1192.52
2045,20092.92,1565.99
2046,16404.32,1571.57
2047,36058.58,2378.36
2048,30828.57,2392.05
2049,540953.38,22581.75
2050,6092.21,878.01
2051,14139.75,1253.5
2052,33930.47,2217.19
2053,7746.79,996.3
2054,154389.98,7392.43
2055,7471.14,946.24
2056,2996.79,418.34
2057,4829.79,708.73
2058,7507.04,836.91
2059,4633.4,630.95
2060,37526.25,3165.62
2061,27761.76,1900.03
2062,4565.09,512.1
2063,47814.19,2756.79
2064,98990.3,4771.77
2065,83411.8,4358.71
2066,8870.21,986.25
2067,14435.99,1360.86
2068,1073.88,163.75
2069,9893.5,1039.22
2070,17880.7,1624.44
2071,6068.43,873.73
2072,3455.08,506.33
2073,25987.66,1913.39
2074,50456.9,2638.7
2075,14398.34,1227.55
2076,111721.01,5550.15
2077,86684.48,4267.58
2078,94477.82,4910.92
2079,118805.44,5579.1
2080,59597.73,3602.14
2081,85599.21,4158.84
2082,8910.61,899.98
2083,68846.27,3627.25
2084,2964.33,436.09
2085,2276.35,305.57
2086,79857.16,4255.81
2087,355788.22,16186.64
2088,19085.04,1640.14
2089,54253.99,3135.62
2090,9097.36,990.08
2091,1579.11,208.11
2092,1360.52,198.56
2093,2992.72,509.65
2094,118109.38,6313.53
2095,5584.62,697.9
2096,111382.23,5432.18
2097,13462.87,1422.07
2098,60773.24,3127.57
2099,86926.66,4252.58
2100,49779.56,2844.6
2101,34832.98,2163.4
2102,6141.39,774.83
2103,129.31,22.76
2104,1151.23,170.89
2105,29650.13,2311.25
2106,46806.88,2614.47
2107,52770.93,3276.14
2108,22534.05,2131.25
2109,12709.0,1184.42
2110,47464.32,2627.28
2111,46176.06,2609.12
2112,8746.99,968.85
2113,33388.64,2210.0
2114,2075.14,289.14
2115,4787.53,620.01
2116,17505.49,1740.99
2117,7354.52,991.15
2118,3430.11,464.14
2119,3088.38,496.39
2120,2062.75,280.92
2121,11410.98,1139.79
2122,81611.93,4090.13
2123,50824.51,2922.13
2124,535.12,82.52
2125,53480.6,3123.33
2126,101706.86,4921.87
2127,60320.95,3124.77
2128,183148.48,8369.6
2129,18794.73,1452.46
2130,10136.58,1111.4
2131,35707.43,2605.0
2132,182894.45,8356.64
2133,5585.05,661.06
2134,36565.43,2262.32
2135,1239.53,181.77
2136,2687.96,417.15
2137,3088.38,496.39
2138,149915.16,6825.71
2139,20647.71,1671.86
2140,31494.3,2517.44
2141,12463.95,1335.74
2142,4261.52,560.35
2143,10253.71,1174.72
2144,6703.82,865.59
2145,537352.69,22541.69
2146,13495.33,1293.15
2147,23929.94,2282.54
2148,2233.01,317.97
2149,46895.3,2666.3
2150,46895.3,2666.3
2151,1637.81,219.04
2152,28972.96,1990.61
2153,281000.19,11995.39
2154,6166.48,815.73
2155,120572.73,5793.26
2156,16464.08,1359.52
2157,33346.91,2029.12
2158,8926.57,1028.23
2159,124291.08,6123.87
2160,1745.65,258.3
2161,7874.75,845.06
2162,2091.91,279.23
2163,8711.0,985.81
2164,15207.6,1835.79
2165,99060.82,4956.05
2166,32691.2,2164.41
2167,7198.82,833.5
2168,1745.65,258.3
2169,6675.31,864.6
2170,9978.67,975.38
2171,2957.31,467.1
2172,541993.56,23010.58
2173,7407.26,955.09
2174,81919.7,4036.77
2175,652.25,120.31
2176,3016.47,400.26
2177,4271.84,595.83
2178,29435.15,2105.16
2179,4360.25,501.56
2180,12607.28,1178.82
2181,38731.54,2701.66
2182,46421.18,2535.66
2183,16608.39,1391.75
2184,113615.3,5333.47
2185,4955.41,622.84
2186,23537.73,1781.48
2187,162589.19,7761.02
2188,73677.77,4125.4
2189,9170.21,1246.11
2190,12342.86,1299.72
2191,1399.41,208.72
2192,104643.14,5076.4
2193,5632.29,710.13
2194,4219.42,535.97
2195,90027.61,4299.92
2196,12471.76,1123.56
2197,11403.56,1221.46
2198,120235.36,5273.92
2199,21322.44,1837.53
2200,106366.39,5194.24
2201,18773.8,1707.14
2202,104338.32,5220.59
2203,226597.47,11024.54
2204,74328.27,4166.3
2205,2688.2,409.03
2206,12125.18,1286.96
2207,2164.76,292.54
2208,50988.56,2708.47
2209,2155.98,299.49
2210,3059.49,443.19
2211,14420.8,1509.78
2212,14420.8,1509.78
2213,18400.86,1616.39
2214,182163.0,8314.43
2215,2261.42,309.16
2216,18720.78,1611.05
2217,21635.53,1795.87
2218,1542.33,227.68
2219,16610.54,1464.34
2220,49755.1,2832.42
2221,67655.14,3559.18
2222,51987.29,3022.54
2223,53462.29,3127.89
2224,55203.43,3168.27
2225,48669.7,2713.85
2226,49399.18,2777.46
2227,3540.26,452.83
2228,33261.38,2054.1
2229,111782.61,5244.37
2230,10690.52,1013.34
2231,19607.73,1758.28
2232,8970.31,892.63
2233,2322.53,363.88
2234,7160.97,830.97
2235,19118.51,1486.64
2236,7160.97,830.97
2237,5769.62,726.97
2238,5268.94,699.89
2239,4801.15,560.76
2240,1193.67,159.06
2241,17924.84,1738.77
2242,19620.86,1567.05
2243,13014.12,1259.11
2244,5633.46,710.24
2245,182834.19,8197.56
2246,37578.75,2595.72
2247,118660.08,5567.97
2248,29378.08,1985.33
2249,206371.02,8733.07
2250,4322.02,579.55
2251,7188.3,851.28
2252,9712.17,900.33
2253,29490.24,2290.8
2254,95009.67,4612.0
2255,58652.51,3249.36
2256,115138.05,5391.03
2257,152704.23,7116.72
2258,156367.34,7191.69
2259,115501.91,5284.09
2260,1073.88,163.75
2261,27333.38,2161.0
2262,1239.53,181.77
2263,84117.32,4191.65
2264,280506.94,11927.32
2265,9625.36,1218.37
2266,4042.13,554.6
2267,4042.13,554.6
2268,7584.14,907.28
2269,6606.23,880.23
2270,6606.23,880.23
2271,2557.7,337.39
2272,23027.66,1772.7
2273,2211.53,289.07
2274,152634.95,7294.42
2275,4909.83,655.67
2276,1832.44,246.9
2277,100120.35,5897.17
2278,4674.44,586.03
2279,88716.27,4425.08
2280,7662.39,865.33
2281,38064.54,2455.08
2282,14501.36,1334.76
2283,25473.21,1807.36
2284,3668.46,468.87
2285,22054.8,1612.11
2286,3227.23,469.04
2287,6275.05,672.25
2288,1845.09,254.46
2289,7131.24,852.6
2290,45874.72,2661.03
2291,101588.44,4965.47
2292,3165.05,460.02
2293,14501.36,1334.76
2294,5229.55,727.72
2295,300917.56,13150.5
2296,36452.96,2255.11
2297,6685.71,848.08
2298,22053.95,1597.61
2299,18542.05,1466.64
2300,3676.64,568.87
2301,45988.16,2761.27
2302,73474.99,3716.2
2303,7170.82,811.7
2304,10966.81,1070.65
2305,98960.48,5760.95
2306,12495.06,1060.47
2307,1636.81,218.92
2308,2419.01,321.77
2309,135403.64,6537.52
2310,38414.67,2734.92
2311,223271.94,10863.2
2312,83460.16,4074.93
2313,3282.75,498.68
2314,3860.28,475.74
2315,10426.81,1108.55
2316,20628.82,1849.33
2317,151622.63,7052.03
2318,152377.67,7222.56
2319,16621.76,1515.72
2320,27768.09,2216.23
2321,6412.26,804.53
2322,46547.36,2483.23
2323,40542.25,2536.12
2324,359501.19,16415.47
2325,89531.01,4232.28
2326,35849.27,2348.22
2327,92055.82,4849.08
2328,103073.2,4901.6
2329,15998.22,1590.77
2330,9225.53,1006.81
2331,1752.37,270.15
2332,89531.01,4232.28
2333,639.48,98.29
2334,94199.34,4858.71
2335,18794.73,1452.46
2336,91019.48,4536.2
2337,14416.19,1713.52
2338,76757.55,4048.45
2339,105735.3,5406.58
2340,639.48,98.29
2341,2270.77,344.83
2342,9010.6,1171.62
2343,709.28,129.62
2344,709.28,129.62
2345,1394.66,199.12
2346,2876.82,458.81
2347,2499.59,331.08
2348,566.64,97.71
2349,3530.7,468.31
2350,56688.4,3214.18
2351,735.94,112.99
2352,11332.26,1464.97
2353,21838.99,1578.48
2354,15205.41,1620.9
2355,5152.01,705.1
2356,2984.08,456.71
2357,142292.95,6741.09
2358,102796.35,5147.76
2359,4831.47,608.94
2360,118642.52,5571.1
2361,12957.76,1365.36
2362,60655.41,3074.35
2363,4094.26,578.3
2364,42528.92,3022.59
2365,15284.23,1307.45
2366,81697.95,4020.81
2367,256007.05,11436.96
2368,120788.52,5675.06
2369,118034.26,6017.07
2370,22889.94,1866.94
2371,7407.26,955.09
2372,5335.87,738.19
2373,17710.6,1702.42
2374,42497.02,2385.64
2375,10109.11,1158.61
2376,8675.79,1080.44
2377,6907.13,918.86
2378,117706.95,5449.05
2379,3587.24,489.84
2380,6432.33,816.16
2381,80624.84,3942.29
2382,77196.61,4184.92
2383,3035.49,445.98
2384,23217.77,1912.73
2385,20094.44,1566.21
2386,56919.98,3196.69
2387,2401.29,317.95
2388,1745.65,258.3
2389,3104.34,422.5
2390,15394.97,1574.76
2391,107553.23,6252.04
2392,12528.37,1309.56
2393,90625.02,4510.96
2394,1744.66,258.06
2395,52351.11,3219.16
2396,3563.51,491.71
2397,3522.66,440.05
2398,112733.47,5270.88
2399,302514.88,13385.97
2400,2295.21,334.69
2401,18521.6,1452.94
2402,128415.92,6179.9
2403,103296.06,4954.15
2404,8460.79,920.97
2405,566.64,97.71
2406,1358.47,213.82
2407,93582.99,4922.95
2408,256380.45,11411.73
2409,91127.13,4589.57
2410,42700.48,2439.49
2411,75195.45,4325.94
2412,132554.64,6396.94
2413,11166.67,1237.28
2414,2075.14,289.14
2415,152588.45,7283.25
2416,90553.08,4259.71
2417,79656.57,3916.68
2418,94015.57,4226.15
2419,12882.34,1366.6
2420,77567.09,4527.58
2421,134142.61,6561.94
2422,54140.36,3111.3
2423,28832.14,1930.49
2424,6302.05,802.22
2425,2587.2,349.42
2426,24660.21,1759.17
2427,35243.19,2518.44
2428,16697.73,1768.86
2429,53339.39,3323.06
2430,53403.48,3328.19
2431,111556.92,5463.11
2432,39071.08,2906.58
2433,3285.44,461.29
2434,117257.9,5459.07
2435,120485.66,5826.92
2436,139237.14,6835.94
2437,20627.82,1772.64
2438,866.96,157.72
2439,39773.35,2421.44
2440,2415.95,280.08
2441,24813.95,1776.38
2442,83383.57,4127.74
2443,5298.04,731.38
2444,111629.36,5551.45
2445,2740.77,425.99
2446,322472.69,15296.1
2447,112883.43,6412.49
2448,102845.28,4909.32
2449,93510.91,4429.63
2450,3119.87,480.54
2451,162053.28,7690.08
2452,39846.7,2762.58
2453,77428.24,4513.6
2454,30153.96,2106.88
2455,98648.74,4869.69
2456,46895.3,2666.3
2457,139281.23,6335.45
2458,3655.32,495.55
2459,95175.8,5605.73
2460,6585.35,873.99
2461,3646.34,496.06
2462,48579.44,2826.47
2463,160904.59,7595.24
2464,16852.23,1527.8
2465,90783.7,4621.23
2466,32375.6,2146.96
2467,34231.83,2091.0
2468,85124.84,4351.91
2469,36242.64,2615.92
2470,47151.99,2636.74
2471,1394.66,199.12
2472,34875.06,2472.99
2473,3977.98,493.59
2474,39135.34,2745.02
2475,51617.38,3030.31
2476,74446.63,4191.7
2477,1251.68,174.46
2478,8551.74,1054.38
2479,87402.91,4354.83
2480,17499.47,1453.44
2481,24934.09,1876.42
2482,126933.57,5742.5
2483,45765.45,2496.23
2484,12345.23,1116.95
2485,6713.37,859.98
2486,142613.84,7036.99
2487,257333.44,11535.8
2488,34448.75,2100.14
2489,121746.38,5849.57
2490,21371.47,2149.09
2491,13499.21,1192.14
2492,34964.93,2110.66
2493,42060.59,2956.6
2494,2205.19,309.08
2495,164578.59,7737.37
2496,22016.58,1599.56
2497,29101.94,2074.41
2498,11108.38,1178.51
2499,25834.63,1905.33
2500,20111.95,1833.16
2501,10613.24,1260.16
2502,91151.41,4557.0
2503,7954.39,871.17
2504,34000.05,2538.21
2505,79095.38,4226.92
2506,277069.59,11998.63
2507,34477.64,2139.72
2508,47049.72,2938.34
2509,67141.83,3501.04
2510,24010.11,1807.4
2511,4212.34,586.66
2512,13233.58,1325.18
2513,120870.9,5790.93
2514,2929.24,434.96
2515,16803.88,1701.22
2516,24947.35,2167.66
2517,17787.95,1634.15
2518,3888.4,508.4
2519,1902.56,261.3
2520,43531.35,2630.02
2521,3231.06,448.24
2522,108724.91,5533.63
2523,3035.49,445.98
2524,11383.28,1181.31
2525,36461.42,2685.1
2526,21786.9,1675.67
2527,32720.69,2203.64
2528,103862.62,6133.5
2529,6250.51,773.37
2530,13012.12,1041.51
2531,1675.21,262.46
2532,113560.46,6462.53
2533,12534.68,1165.51
2534,1745.65,258.3
2535,1588.7,235.19
2536,19527.1,1526.13
2537,21442.87,2067.02
2538,76159.52,4375.5
2539,7198.82,833.5
2540,18043.89,1725.89
2541,4561.53,623.1
2542,4259.88,536.2
2543,252000.59,11286.92
2544,90236.59,4350.3
2545,10329.18,1136.33
2546,22630.58,1642.78
2547,49637.1,2838.3
2548,6527.22,813.13
2549,31399.38,2498.64
2550,2075.14,289.14
2551,3705.82,509.13
2552,49504.16,2819.16
2553,74489.99,4200.77
2554,6585.63,855.58
2555,5131.97,607.43
2556,2527.7,293.89
2557,11483.98,1019.43
2558,274099.88,11563.01
2559,999.59,144.92
2560,18107.32,1669.31
2561,42439.18,2555.15
2562,3035.49,445.98
2563,23384.67,2016.76
2564,5771.3,652.89
2565,9699.24,1048.1
2566,33165.78,2271.37
2567,33324.21,2654.68
2568,13438.94,1242.99
2569,12253.45,1323.77
2570,23263.6,2003.8
2571,35474.58,2559.32
2572,94427.68,4531.54
2573,25928.77,2083.9
2574,38715.45,2277.87
2575,2381.61,314.75
2576,14223.4,1464.08
2577,20080.0,1806.35
2578,58259.79,4020.6
2579,10747.02,1227.71
2580,28304.42,2666.08
2581,131640.39,5718.73
2582,20015.87,1722.14
2583,10647.52,998.03
2584,2976.23,493.09
2585,13333.99,1708.51
2586,221710.38,10339.54
2587,3777.01,549.23
2588,17412.99,1458.02
2589,121999.26,5970.09
2590,1312.02,184.27
2591,922.74,134.39
2592,1112.5,164.74
2593,273413.03,11553.17
2594,17067.33,1381.63
2595,183023.94,8495.54
2596,45493.62,2491.27
2597,9143.88,1000.56
2598,99900.97,5035.68
2599,1446.96,238.58
2600,9143.88,1000.56
2601,1796.98,280.85
2602,154034.72,7293.12
2603,21979.23,1590.15
2604,4271.08,545.56
2605,2265.47,375.18
2606,5124.96,700.23
2607,8307.03,814.35
2608,3343.35,437.32
2609,7954.82,865.01
2610,116692.2,5452.69
2611,139316.5,6590.2
2612,17190.92,1374.82
2613,284534.06,13080.51
2614,3893.24,535.34
2615,76420.25,4483.82
2616,109736.02,6416.79
2617,117019.47,5427.82
2618,29957.98,2315.0
2619,84510.7,4248.22
2620,114509.5,5133.94
2621,102851.13,4917.63
2622,29763.24,2027.79
2623,17208.57,1415.08
2624,31315.22,2357.33
2625,25083.37,1819.47
2626,11154.8,1071.79
2627,98775.37,4914.3
2628,115129.6,5732.28
2629,6957.83,907.67
2630,2261.42,309.16
2631,20437.65,1621.45
2632,2670.8,404.18
2633,46085.96,2975.26
2634,112979.27,5891.53
2635,53782.3,3143.91
2636,3790.1,526.18
2637,284450.97,11856.32
2638,30479.4,2125.3
2639,98610.16,5206.56
2640,626.89,97.38
2641,388971.38,16646.04
2642,10751.92,1052.16
2643,71455.45,3574.93
2644,10751.92,1052.16
2645,31799.31,2309.9
2646,38230.83,2223.24
2647,33420.96,2001.8
2648,299739.28,12992.24
2649,14343.5,1285.84
2650,1672.26,241.78
2651,2581.32,338.67
2652,2233.01,317.97
2653,7286.96,980.73
2654,56160.0,3003.5
2655,147937.81,7151.14
2656,103051.73,5172.31
2657,7485.54,939.86
2658,18272.9,1436.21
2659,47480.64,2791.03
2660,47952.63,2837.51
2661,6224.43,738.52
2662,37178.71,3089.41
2663,11154.8,1071.79
2664,6905.13,894.53
2665,4748.56,653.37
2666,150712.23,7081.23
2667,21719.49,1563.37
2668,46822.21,2662.04
2669,17851.2,1701.82
2670,6169.37,769.54
2671,19330.69,1532.16
2672,126162.22,5759.04
2673,50358.1,2660.98
2674,2209.73,307.11
2675,2036.8,286.06
2676,71461.37,3931.68
2677,2276.35,305.57
2678,109143.73,5545.84
2679,23036.24,2096.69
2680,3309.58,408.07
2681,3500.18,447.99
2682,153935.7,7390.08
2683,1048.38,159.75
2684,5570.94,659.92
2685,37705.33,2273.17
2686,116206.62,5326.41
2687,152933.61,7227.56
2688,280886.34,11960.87
2689,11481.57,1092.79
2690,120564.94,5779.01
2691,7435.5,831.28
2692,66589.9,3857.37
2693,11825.89,1367.44
2694,58572.3,3084.73
2695,46868.28,2985.52
2696,172731.81,8215.25
2697,5804.69,734.33
2698,18426.48,1969.53
