,min_dist,min_dur
1427,222.02,45.08
1428,492.33,69.39
1429,3663.85,482.75
1430,28666.32,1626.12
1431,944.87,129.98
1432,483.73,78.87
1433,1285.08,175.21
1434,833.84,154.7
1435,709.39,152.13
1436,1494.17,222.08
1437,885.46,162.01
1438,3849.46,417.64
1439,908.77,153.76
1440,655.29,98.18
1441,3507.42,398.27
1442,1986.91,250.87
1443,3503.1,476.19
1444,53094.95,2603.24
1445,89969.7,3995.09
1446,5102.09,480.98
1447,1809.44,199.96
1448,971.64,154.19
1449,46073.58,2524.39
1450,1218.75,128.42
1451,249300.7,9835.99
1452,445.03,65.5
1453,3400.83,411.88
1454,1918.44,251.71
1455,3854.83,378.33
1456,696.84,104.93
1457,1865.93,261.02
1458,549.88,54.39
1459,4019.02,469.58
1460,605.05,110.05
1461,1606.93,244.85
1462,15335.59,1176.46
1463,37000.16,1925.17
1464,854.52,68.61
1465,59039.67,2902.93
1466,17638.99,1104.16
1467,2340.24,370.29
1468,51313.29,2399.19
1469,1179.64,230.55
1470,1945.28,259.12
1471,1365.5,181.54
1472,268.91,53.99
1473,56705.45,2686.41
1474,1305.07,178.84
1475,61270.05,3189.08
1476,9624.91,1011.26
1477,276.82,28.2
1478,364.08,71.65
1479,74504.22,3665.64
1480,589.26,71.65
1481,1958.55,276.35
1482,998.13,154.14
1483,1958.55,276.35
1484,1084.5,179.73
1485,42836.41,2233.1
1486,8294.23,615.07
1487,2231.71,264.97
1488,2876.13,304.16
1489,7633.81,804.94
1490,14667.4,1091.31
1491,8332.86,743.73
1492,1433.59,235.01
1493,7306.15,794.11
1494,736.28,99.17
1495,277308.84,12020.33
1496,2357.71,295.72
1497,16675.32,1144.61
1498,1239.37,178.11
1499,133044.14,5905.87
1500,24201.12,1653.46
1501,51459.31,2440.98
1502,7867.89,1007.53
1503,3378.42,418.99
1504,601.44,114.06
1505,725.24,104.54
1506,1860.35,227.45
1507,12569.52,901.97
1508,293220.53,11391.68
1509,6185.45,611.2
1510,44333.27,2490.79
1511,754.2,163.54
1512,772.32,134.86
1513,477.33,83.48
1514,2005.43,204.2
1515,1623.28,195.66
1516,287.14,41.97
1517,186162.38,8361.09
1518,82856.45,4260.02
1519,2356.14,356.14
1520,436.03,61.53
1521,1622.26,245.97
1522,1626.15,236.48
1523,47229.0,2907.38
1524,1280.07,195.35
1525,1588.53,250.14
1526,35096.78,1734.48
1527,3157.57,395.5
1528,477.24,71.15
1529,7527.59,732.6
1530,5902.31,674.16
1531,76915.52,3881.16
1532,1980.76,204.85
1533,41417.5,2334.26
1534,96771.44,4576.49
1535,710.81,141.56
1536,1416.98,267.16
1537,1385.1,204.37
1538,109084.89,5257.5
1539,278.2,54.72
1540,36987.45,2018.28
1541,1133.15,226.15
1542,1044.35,183.86
1543,7143.73,737.41
1544,1412.75,223.9
1545,14970.92,1009.3
1546,181049.89,7464.22
1547,3974.34,379.43
1548,1673.75,215.43
1549,40998.67,2041.99
1550,2247.23,278.25
1551,1596.82,218.55
1552,981.68,133.46
1553,1449.22,173.03
1554,602.39,95.04
1555,2077.69,235.03
1556,41505.37,2360.66
1557,1052.16,194.97
1558,441.24,66.43
1559,752.76,77.22
1560,1192.54,205.72
1561,4035.53,498.65
1562,10501.21,801.71
1563,2568.57,332.38
1564,46739.27,2930.59
1565,3105.15,351.31
1566,1595.84,240.31
1567,3612.13,461.33
1568,56525.03,2652.3
1569,15914.19,1196.8
1570,5622.34,609.07
1571,1150.82,156.87
1572,2277.18,337.19
1573,914.45,129.42
1574,1453.16,213.76
1575,1824.86,281.89
1576,1855.36,211.8
