suburb,postcode,latitude,longitude,isNewDevelopment,bathrooms,bedrooms,carspaces,propertyTypes,status,channel,price_per_week,time_to_nearest_train_station(min),distance_to_nearest_train_station(km),distance_to_nearest_school(km),time_to_nearest_school(min)
Hampton East,3188,-37.9343781,145.0288148,False,1,3,1,apartmentUnitFlat,live,residential,550.0,3.78,1.26,1.34,2.55
Eynesbury,3338,-37.7933385,144.5429625,False,2,4,2,house,live,residential,460.0,20.5,13.79,0.76,2.52
Footscray,3011,-37.804879,144.901443,False,1,1,1,apartmentUnitFlat,live,residential,420.0,1.73,0.76,0.32,0.55
Thornhill Park,3335,-37.7191824,144.6315873,False,2,3,2,house,live,residential,425.0,7.87,6.93,1.46,3.0
Hawthorn,3122,-37.8167688,145.0162549,False,1,2,1,apartmentUnitFlat,live,residential,550.0,3.1,1.34,0.82,1.88
Wyndham Vale,3024,-37.86872140000001,144.6148876,False,3,4,2,house,live,residential,630.0,2.3,0.99,1.63,3.4
Pascoe Vale South,3044,-37.74054410000001,144.9408872,False,2,3,3,house,live,residential,795.0,4.11,2.28,0.22,0.53
Pakenham,3810,-38.07222,145.484145,False,2,2,1,townhouse,live,residential,470.0,2.92,1.21,1.45,2.27
Pakenham,3810,-38.0722068,145.4841508,False,2,3,2,townhouse,live,residential,530.0,2.91,1.21,1.45,2.26
Epping,3076,-37.6341561,145.0227857,False,2,3,2,townhouse,live,residential,500.0,6.73,3.39,1.55,3.26
Bell Park,3215,-38.1162913,144.3320352,False,1,3,2,house,live,residential,450.0,6.86,3.68,0.79,2.72
Carlton North,3054,-37.7869986,144.9760429,False,1,2,1,house,live,residential,680.0,4.29,1.73,0.73,2.31
Elliminyt,3250,-38.3533992,143.5838791,False,2,3,2,house,live,residential,530.0,2.83,1.4,0.87,1.54
Glen Waverley,3150,-37.87760979999999,145.1675888,False,1,3,2,apartmentUnitFlat,live,residential,695.0,2.49,0.86,0.8,2.17
Geelong West,3218,-38.1437451,144.3368601,False,1,3,2,house,live,residential,500.0,5.57,2.64,0.5,1.1
Northcote,3070,-37.7686831,144.9880547,False,1,3,2,house,live,residential,875.0,2.43,0.88,0.69,1.68
Safety Beach,3936,-38.3201984,144.9898304,False,1,2,1,apartmentUnitFlat,live,residential,420.0,23.73,21.66,3.81,7.44
Wollert,3750,-37.6170665,145.0084783,False,2,3,2,townhouse,live,residential,545.0,14.14,9.06,1.27,4.06
Truganina,3029,-37.7601126,144.6722941,False,2,4,2,house,live,residential,480.0,11.47,7.39,5.82,10.9
Bell Post Hill,3215,-38.099913,144.3238462,False,2,3,2,house,live,residential,480.0,8.29,5.14,0.35,1.41
Flemington,3031,-37.7842636,144.9349952,False,1,1,1,apartmentUnitFlat,live,residential,400.0,2.48,0.86,0.38,0.92
Melbourne,3000,-37.8084354,144.960808,False,2,3,0,apartmentUnitFlat,live,residential,1250.0,1.64,0.76,0.9,2.08
Brunswick West,3055,-37.7595501,144.9396449,False,1,1,1,apartmentUnitFlat,live,residential,450.0,4.4,2.42,0.77,1.6
Melbourne,3000,-37.8071364,144.9603738,False,2,2,0,apartmentUnitFlat,live,residential,750.0,2.05,0.95,0.6,1.52
Thornbury,3071,-37.7620825,145.0151178,False,2,3,2,townhouse,live,residential,975.0,6.12,2.09,0.25,0.76
Pakenham,3810,-38.067757,145.4857415,False,2,4,2,house,live,residential,570.0,3.99,1.92,1.81,2.96
Clayton,3168,-37.9136587,145.1239837,False,1,1,0,apartmentUnitFlat,live,residential,340.0,2.96,1.5,0.41,1.02
Macleod,3085,-37.72565,145.0739649,False,2,3,1,townhouse,live,residential,750.0,1.91,0.49,0.38,1.25
Caulfield North,3161,-37.875917,145.0368565,False,2,2,1,apartmentUnitFlat,live,residential,725.0,2.04,0.77,0.71,1.78
Blackburn,3130,-37.8316268,145.1631927,False,2,4,2,house,live,residential,690.0,4.76,2.03,0.67,1.66
Benalla,3672,-36.5505225,145.9654007,False,1,3,4,house,live,residential,425.0,6.9,3.2,0.55,1.07
Bentleigh,3204,-37.9223465,145.0354839,False,1,2,1,house,live,residential,650.0,1.24,0.31,0.85,1.77
Carlton North,3054,-37.7808694,144.9715302,False,1,3,0,house,live,residential,950.0,3.74,1.63,0.28,1.02
Melbourne,3004,-37.8543335,144.981277,False,1,2,1,apartmentUnitFlat,live,residential,650.0,3.64,1.84,1.21,2.45
Vermont,3133,-37.8364691,145.2114001,False,2,4,2,house,live,residential,780.0,4.66,2.18,0.26,0.76
Doncaster East,3109,-37.766828,145.167085,False,2,3,2,townhouse,live,residential,760.0,12.71,6.85,1.59,3.33
Brown Hill,3350,-37.5553736,143.8882061,False,1,1,0,studio,live,residential,300.0,5.46,3.21,0.59,1.37
Wendouree,3355,-37.5371194,143.8381899,False,1,1,0,studio,live,residential,300.0,4.86,2.28,0.9,2.55
Canadian,3350,-37.5783105,143.8794385,False,1,1,0,studio,live,residential,300.0,7.98,3.54,0.83,2.2
Melbourne,3000,-37.8150001,144.9538708,False,2,3,1,apartmentUnitFlat,live,residential,1050.0,1.55,0.65,0.44,1.12
Balwyn North,3104,-37.7921584,145.0720122,False,2,4,2,house,live,residential,880.0,10.1,5.19,0.22,0.88
Whittlesea,3757,-37.5076027,145.1183795,False,2,3,2,house,live,residential,550.0,15.26,11.84,0.64,2.16
Tarneit,3029,-37.8351974,144.6876856,False,2,4,2,house,live,residential,650.0,2.99,1.5,0.84,1.64
Kalkallo,3064,-37.5205589,144.9595255,False,2,3,2,house,live,residential,480.0,6.5,3.81,1.58,2.49
Donnybrook,3064,-37.5431871,144.9883296,False,2,4,2,house,live,residential,550.0,3.19,2.22,1.98,3.4
Truganina,3029,-37.7604856,144.6718518,False,2,4,2,house,live,residential,490.0,11.37,7.34,5.77,10.8
Point Cook,3030,-37.9030957,144.7421744,False,2,4,2,house,live,residential,625.0,11.04,5.96,0.67,1.34
St Kilda West,3182,-37.8611066,144.9730024,False,1,1,0,apartmentUnitFlat,live,residential,430.0,6.06,2.54,0.77,2.12
Clyde,3978,-38.1377812,145.3706598,False,2,4,2,house,live,residential,600.0,13.5,10.94,6.46,7.36
Truganina,3029,-37.76974999999999,144.6927748,False,2,4,2,house,live,residential,550.0,12.84,8.79,7.23,12.27
Prahran,3181,-37.8541868,145.0024549,False,1,2,1,apartmentUnitFlat,live,residential,550.0,3.1,1.73,0.95,1.53
Pakenham,3810,-38.0645405,145.4816917,False,1,2,1,apartmentUnitFlat,live,residential,450.0,5.27,2.35,1.73,3.96
Carnegie,3163,-37.8866246,145.0582281,False,2,2,1,apartmentUnitFlat,live,residential,650.0,1.91,0.5,0.85,2.3
South Yarra,3141,-37.83924469999999,144.995215,False,2,2,1,apartmentUnitFlat,live,residential,1020.0,0.78,0.31,0.35,1.05
Prahran,3181,-37.856328,144.996798,False,1,2,1,house,live,residential,795.0,2.97,0.83,0.58,1.3
Truganina,3029,-37.8529683,144.7186156,False,2,3,2,house,live,residential,500.0,7.92,4.54,0.56,1.4
Lucas,3350,-37.5443915,143.7703315,False,2,4,2,house,live,residential,480.0,10.56,7.21,1.93,2.98
Berwick,3806,-38.0444282,145.3356885,False,2,3,2,house,live,residential,590.0,5.01,2.65,0.73,1.39
Point Cook,3030,-37.8998494,144.7274982,False,2,3,2,house,live,residential,570.0,9.69,6.02,0.54,1.2
St Kilda,3182,-37.8652646,144.9747513,False,1,1,1,apartmentUnitFlat,live,residential,850.0,4.63,1.91,1.23,3.13
Torquay,3228,-38.3150416,144.3287188,False,2,3,2,house,live,residential,725.0,16.36,15.34,1.89,4.05
Clifton Springs,3222,-38.1524473,144.5816331,False,1,3,1,house,live,residential,470.0,28.56,24.0,2.81,4.86
Croydon,3136,-37.79836299999999,145.2877856,False,1,2,0,apartmentUnitFlat,live,residential,500.0,2.51,0.96,1.06,2.6
Richmond,3121,-37.8149919,145.0089439,False,1,1,1,apartmentUnitFlat,live,residential,475.0,3.58,2.0,0.22,0.6
Melbourne,3000,-37.814996,144.9660285,False,1,1,0,apartmentUnitFlat,live,residential,520.0,2.38,1.01,0.83,1.96
Alfredton,3350,-37.5555439,143.7907269,False,2,2,1,house,live,residential,370.0,10.46,5.5,1.22,2.67
Wendouree,3355,-37.529823,143.8336052,False,1,3,5,house,live,residential,400.0,4.64,2.58,0.84,1.71
Tarneit,3029,-37.8474591,144.6457769,False,2,4,2,house,live,residential,570.0,11.3,6.44,0.84,1.83
Werribee,3030,-37.9115391,144.6061468,False,2,4,2,house,live,residential,505.0,7.4,4.84,1.35,2.72
Sale,3850,-38.0948713,147.0739965,False,1,3,1,house,live,residential,450.0,6.87,3.04,0.96,1.38
Bairnsdale,3875,-37.8376385,147.5710598,False,2,4,2,house,live,residential,580.0,8.5,6.38,0.86,1.12
Wonthaggi,3995,-38.6180637,145.5883947,False,1,3,0,house,live,residential,385.0,85.29,104.02,1.6,3.85
Epping,3076,-37.6440022,145.0411026,False,1,3,3,house,live,residential,500.0,5.04,2.14,1.15,2.31
Lalor,3075,-37.6639907,145.0146664,False,1,3,4,house,live,residential,525.0,1.64,0.73,0.42,1.02
Frankston North,3200,-38.120938,145.1570647,False,1,3,1,house,live,residential,470.0,7.62,2.56,0.81,2.96
Altona,3018,-37.8621068,144.8222519,False,2,3,2,house,live,residential,600.0,2.46,1.16,0.43,1.05
McKinnon,3204,-37.9112274,145.0410613,False,3,3,2,townhouse,live,residential,840.0,0.79,0.32,0.67,0.92
Wyndham Vale,3024,-37.8827171,144.6251011,False,2,4,2,house,live,residential,450.0,4.45,2.57,0.93,2.38
Southbank,3006,-37.8241461,144.9625642,False,2,2,1,apartmentUnitFlat,live,residential,650.0,4.56,1.73,1.1,2.67
